error_number,current_index,next_index,current_byte_offset,next_byte_offset,counter_current,counter_next,counter_delta,counter_missing_samples,lfsr_current,lfsr_expected_next,lfsr_received,lfsr_steps_to_received,lfsr_missing_samples,next_sample_at_4096_boundary
1107,73471,73472,0x0023DFE0,0x0023E000,24880,24883,3,2,0x53D0E70C,0xA7A1CE19,0x9E873865,3,2,True
1108,73472,73473,0x0023E000,0x0023E020,24883,26009,1126,1125,0x9E873865,0x3D0E70CB,0x65555C3C,>64,unknown,False
1109,73599,73600,0x0023EFE0,0x0023F000,26135,26138,3,2,0xEA80B81F,0xD501703E,0x5405C0FA,3,2,True
1110,73600,73601,0x0023F000,0x0023F020,26138,27454,1316,1315,0x5405C0FA,0xA80B81F5,0xA06C7EE5,>64,unknown,False
1111,73727,73728,0x0023FFE0,0x00240000,27580,27583,3,2,0x6B1B7BA1,0xD636F743,0x58DBDD0D,3,2,True
1112,73728,73729,0x00240000,0x00240020,27583,28738,1155,1154,0x58DBDD0D,0xB1B7BA1B,0x0764C078,>64,unknown,False
1113,73855,73856,0x00240FE0,0x00241000,28864,28867,3,2,0x02E115A4,0x05C22B48,0x1708AD23,3,2,True
1114,73856,73857,0x00241000,0x00241020,28867,30325,1458,1457,0x1708AD23,0x2E115A47,0x94F4D457,>64,unknown,False
1115,73983,73984,0x00241FE0,0x00242000,30451,30454,3,2,0x98FC0000,0x31F80000,0xC7E00003,3,2,True
1116,73984,73985,0x00242000,0x00242020,30454,31588,1134,1133,0xC7E00003,0x8FC00007,0x3977EC8C,>64,unknown,False
1117,74111,74112,0x00242FE0,0x00243000,31714,31717,3,2,0x0E2ECFF7,0x1C5D9FEE,0x71767FBA,3,2,True
1118,74112,74113,0x00243000,0x00243020,31717,32438,721,720,0x71767FBA,0xE2ECFF75,0x47F1FC60,>64,unknown,False
1119,74239,74240,0x00243FE0,0x00244000,32564,32567,3,2,0x47BF408E,0x8F7E811D,0x3DFA0475,3,2,True
