error_number,current_index,next_index,current_byte_offset,next_byte_offset,counter_current,counter_next,counter_delta,counter_missing_samples,lfsr_current,lfsr_expected_next,lfsr_received,lfsr_steps_to_received,lfsr_missing_samples,next_sample_at_4096_boundary
9401,2361190,2361191,0x0480ECC0,0x0480ECE0,47744,47747,3,2,0x36EEC87A,0x6DDD90F4,0xB77643D2,3,2,False
9402,2361201,2361202,0x0480EE20,0x0480EE40,47757,47760,3,2,0xD90F4AC9,0xB21E9592,0xC87A564B,3,2,False
9403,2361214,2361215,0x0480EFC0,0x0480EFE0,47772,47775,3,2,0xA564B739,0x4AC96E72,0x2B25B9C9,3,2,False
9404,2361215,2361216,0x0480EFE0,0x0480F000,47775,47778,3,2,0x2B25B9C9,0x564B7392,0x592DCE48,3,2,True
9405,2361343,2361344,0x0480FFE0,0x04810000,47905,47907,2,1,0x29741D2F,0x52E83A5F,0xA5D074BF,2,1,True
9406,2361415,2361416,0x048108E0,0x04810900,47978,47981,3,2,0x6092576A,0xC124AED4,0x0492BB53,3,2,False
9407,2361427,2361428,0x04810A60,0x04810A80,47992,47995,3,2,0x95DA9FB0,0x2BB53F61,0xAED4FD86,3,2,False
9408,2361441,2361442,0x04810C20,0x04810C40,48008,48011,3,2,0x9FB0DA24,0x3F61B449,0xFD86D124,3,2,False
9409,2361452,2361453,0x04810D80,0x04810DA0,48021,48024,3,2,0x1B449310,0x36892620,0xDA249880,3,2,False
9410,2361465,2361466,0x04810F20,0x04810F40,48036,48039,3,2,0x49880BBB,0x93101777,0x4C405DDF,3,2,False
9411,2361471,2361472,0x04810FE0,0x04811000,48044,48046,2,1,0x880BBBE1,0x101777C3,0x202EEF86,2,1,True
9412,2361475,2361476,0x04811060,0x04811080,48049,48052,3,2,0x01777C33,0x02EEF866,0x0BBBE199,3,2,False
9413,2361489,2361490,0x04811220,0x04811240,48065,48068,3,2,0x7C333F3A,0xF8667E74,0xE199F9D0,3,2,False
9414,2361502,2361503,0x048113C0,0x048113E0,48080,48083,3,2,0x9F9D0252,0x3F3A04A5,0xFCE81295,3,2,False
9415,2361515,2361516,0x04811560,0x04811580,48095,48098,3,2,0x81295E54,0x0252BCA8,0x094AF2A3,3,2,False
9416,2361528,2361529,0x04811700,0x04811720,48110,48113,3,2,0xAF2A39E7,0x5E5473CE,0x7951CF3A,3,2,False
9417,2361541,2361542,0x048118A0,0x048118C0,48125,48128,3,2,0x1CF3A620,0x39E74C40,0xE79D3101,3,2,False
9418,2361554,2361555,0x04811A40,0x04811A60,48140,48143,3,2,0xD3101CC9,0xA6203992,0x9880E64A,3,2,False
9419,2361567,2361568,0x04811BE0,0x04811C00,48155,48158,3,2,0x0E64A19D,0x1CC9433A,0x73250CE8,3,2,False
9420,2361579,2361580,0x04811D60,0x04811D80,48169,48172,3,2,0x286741C2,0x50CE8385,0x433A0E15,3,2,False
9421,2361593,2361594,0x04811F20,0x04811F40,48185,48188,3,2,0x41C2A82B,0x83855056,0x0E154159,3,2,False
